10538119,NeuroImage,Academic Press Inc.
14602156,Brain,
13872877,Journal of Alzheimer's Disease,IOS Press
10512284,Journal of Neuroimaging,Blackwell Publishing Inc.
17383684,Psychiatry Investigation,Korean Neuropsychiatric Association
1974580,Neurobiology of Aging,Elsevier Inc.
1956108,American Journal of Neuroradiology,American Society of Neuroradiology
14654644,Biostatistics,Oxford University Press
0006341X,Biometrics,Blackwell Publishing Inc.
283878,Neurology,Lippincott Williams and Wilkins
15525260,Alzheimer's and Dementia,Elsevier Inc.
1615505,Journal of Nuclear Medicine,Society of Nuclear Medicine Inc.
16634365,Frontiers in Aging Neuroscience,Frontiers Research Foundation
9546820,Journal of Internal Medicine,Blackwell Publishing Ltd
3645134,Annals of Neurology,John Wiley and Sons Inc.
16648021,Frontiers in Genetics,Frontiers Research Foundation
19326203,PLoS ONE,Public Library of Science
8960267,Brain Topography,Springer New York LLC
13674803,Bioinformatics,Oxford University Press
13594184,Molecular Psychiatry,
17589193,Alzheimer's Research and Therapy,BioMed Central Ltd.
63223,Biological Psychiatry,Elsevier USA
19317557,Brain Imaging and Behavior,
1170229X,Drugs and Aging,
15672050,Current Alzheimer Research,Bentham Science Publishers B.V.
10659471,Human Brain Mapping,John Wiley and Sons Inc.
14208008,Dementia and Geriatric Cognitive Disorders,S. Karger AG
1664042X,Frontiers in Physiology,Frontiers Research Foundation
1509861,Journal of Neuroradiology,Elsevier Masson SAS
68950,Brain,Oxford University Press
14712105,BMC Bioinformatics,
15537390,PLoS Genetics,Public Library of Science
9254927,Psychiatry Research - Neuroimaging,Elsevier Ireland Ltd
16602854,Neurodegenerative Diseases,
2168622X,JAMA Psychiatry,American Medical Association
338419,Radiology,Radiological Society of North America Inc.
1621459,Journal of the American Statistical Association,American Statistical Association
3406717,Human Genetics,
3029743,Lecture Notes in Computer Science,Springer Verlag
0271678X,Journal of Cerebral Blood Flow and Metabolism,Nature Publishing Group
62952,Biochemical Pharmacology,
16322,Acta Neuropathologica,Springer Verlag
2706474,Journal of Neuroscience,Society for Neuroscience
22131582,NeuroImage: Clinical,Elsevier Inc.
21686149,JAMA Neurology,American Medical Association
1553734X,PLoS Computational Biology,Public Library of Science
28614,Journal of the American Geriatrics Society,
3010082,Progress in Neurobiology,
1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,
8930341,Alzheimer Disease and Associated Disorders,
16197070,European Journal of Nuclear Medicine and Molecular Imaging,
10647481,American Journal of Geriatric Psychiatry,
8887543,Genomics,
15461726,Nature Neuroscience,
0277786X,The International Society for Optical Engineering-SPIE,
9401334,European Archives of Psychiatry and Clinical Neuroscience,
189294,IEEE Transactions on Biomedical Engineering,
3065251,British Journal of Clinical Pharmacology,
223050,"Journal of Neurology, Neurosurgery and Psychiatry",
1567567X,Journal of Pharmacokinetics and Pharmacodynamics,
MICCAI,MICCAI,
PRNI,PRNI,
39942,Archives of Neurology,
16624548,Frontiers in Neuroscience,
15446115,Statistical applications in genetics and molecular biology,
18684483,Translational Stroke Research,
14712377,BMC Neurology,
912700,Journal of Clinical Pharmacology,
15581497,Neurobiology of Aging,
13618415,Medical Image Analysis,
19328486,Anatomical Record,
1942597X,AMIA,
22105727,Advances in Alzheimer's Disease,
19457928,International Symposium on Biomedical Imaging,
20900252,International Journal of Alzheimer's Disease,
15652,Human Heredity,
9594965,NeuroReport,
278424,National Academy of Sciences of the United States of America,
10416102,International Psychogeriatrics,Cambridge University Press
20411723,Nature Communications,Nature Publishing Group
1082989X,Psychological Methods,American Psychological Association Inc.
17422094,Journal of Neuroinflammation,BioMed Central Ltd.
5315565,Experimental Gerontology,
14765578,Molecular Psychiatry,
9387994,European Radiology,Springer Verlag
20452322,Scientific Reports,Nature Publishing Group
23528729,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",Elsevier Inc.
14744422,The Lancet Neurology,Lancet Publishing Group
hibit,"International Symposium on Health Informatics and Bioinformatics, HIBIT",
15307026,"Cognitive, Affective and Behavioral Neuroscience",Springer New York LLC
21571422,Cold Spring Harbor Perspectives in Medicine,
23146133,BioMed Research International,Hindawi Publishing Corporation
8937648,Molecular Neurobiology,Humana Press Inc.
7410395,Genetic Epidemiology,Wiley-Liss Inc.
23528737,Alzheimer's and Dementia: Translational Research and Clinical Interventions,Elsevier Inc.
21686157,JAMA Neurology,
23250704,"International Conference on Systems Biology, ISB",IEEE Computer Society
embc,EMBC,Institute of Electrical and Electronics Engineers Inc.
16714083,Acta Pharmacologica Sinica,Nature Publishing Group
22111247,Cell Reports,Elsevier
19492553,Oncotarget,Impact Journals LLC
8958696,Journal of Molecular Neuroscience,Springer New York LLC
16057422,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,SPIE
17560381,BioData Mining,BioMed Central Ltd.